episode,steps,hit_count,total_reward,epsilon
1,4191,2275,-51771.02,0.9900
2,4135,2325,-53282.22,0.9801
3,3108,1700,-38542.02,0.9703
4,5952,3304,-75438.62,0.9606
5,409,247,-5310.02,0.9510
6,1279,671,-15007.02,0.9415
7,923,475,-10715.22,0.9321
8,1141,603,-13708.62,0.9227
9,1178,628,-14222.12,0.9135
10,2184,1108,-24863.42,0.9044
11,544,282,-6206.52,0.8953
12,2262,1108,-25138.22,0.8864
13,957,453,-10384.22,0.8775
14,2072,1046,-23689.12,0.8687
15,2683,1307,-30229.39,0.8601
16,1797,863,-19664.12,0.8515
17,858,392,-8765.42,0.8429
18,610,286,-6396.62,0.8345
19,1231,579,-13268.12,0.8262
20,525,243,-5399.42,0.8179
21,944,440,-9921.92,0.8097
22,1453,639,-14584.82,0.8016
23,476,214,-4716.12,0.7936
24,400,146,-3194.02,0.7857
25,299,133,-2748.42,0.7778
26,444,168,-3789.02,0.7700
27,384,174,-3890.42,0.7623
28,607,263,-5817.52,0.7547
29,420,156,-3338.12,0.7472
30,331,153,-3228.02,0.7397
31,334,134,-2806.22,0.7323
32,900,396,-9207.22,0.7250
33,278,132,-2738.12,0.7177
34,257,103,-2127.42,0.7106
35,300,114,-2353.42,0.7034
36,224,88,-1749.22,0.6964
37,516,218,-5006.52,0.6894
38,242,92,-2025.42,0.6826
39,281,99,-2112.32,0.6757
40,415,169,-3873.32,0.6690
41,330,134,-2914.12,0.6623
42,331,121,-2592.42,0.6557
43,283,109,-2274.22,0.6491
44,372,132,-2864.82,0.6426
45,254,100,-1932.82,0.6362
46,192,66,-1303.72,0.6298
47,276,104,-2218.92,0.6235
48,224,78,-1556.22,0.6173
49,241,89,-1791.62,0.6111
50,223,81,-1648.72,0.6050
51,229,87,-1748.82,0.5990
52,472,162,-3851.92,0.5930
53,194,52,-1022.62,0.5870
54,220,74,-1481.52,0.5812
55,139,45,-817.72,0.5754
56,225,87,-1752.32,0.5696
57,202,76,-1507.02,0.5639
58,163,49,-935.62,0.5583
59,228,76,-1560.32,0.5527
60,173,57,-1109.72,0.5472
61,289,97,-1899.72,0.5417
62,290,92,-1996.62,0.5363
63,215,67,-1350.02,0.5309
64,181,63,-1206.22,0.5256
65,142,42,-751.22,0.5203
66,215,79,-1623.02,0.5151
67,244,72,-1505.62,0.5100
68,249,67,-1410.52,0.5049
69,256,72,-1520.62,0.4998
70,233,71,-1488.52,0.4948
71,247,73,-1557.52,0.4899
72,226,64,-1323.32,0.4850
73,282,96,-2104.42,0.4801
74,112,26,-416.72,0.4753
75,177,57,-1127.12,0.4706
76,175,37,-699.72,0.4659
77,199,57,-1119.32,0.4612
78,134,48,-876.32,0.4566
79,326,94,-2115.62,0.4520
80,112,28,-457.52,0.4475
81,149,31,-544.72,0.4430
82,156,40,-732.52,0.4386
83,98,30,-488.02,0.4342
84,170,48,-971.02,0.4299
85,186,44,-849.82,0.4256
86,133,29,-518.22,0.4213
87,204,50,-1034.72,0.4171
88,287,71,-1546.72,0.4129
89,191,43,-935.12,0.4088
90,473,123,-3075.32,0.4047
91,153,33,-638.02,0.4007
92,135,31,-549.72,0.3967
93,128,34,-592.42,0.3927
94,218,56,-1279.82,0.3888
95,147,27,-512.32,0.3849
96,284,54,-1238.82,0.3810
97,128,24,-336.72,0.3772
98,217,51,-1172.92,0.3735
99,308,72,-1990.42,0.3697
100,143,25,-465.92,0.3660
101,147,27,-498.22,0.3624
102,134,28,-512.82,0.3587
103,211,47,-998.92,0.3552
104,131,29,-490.32,0.3516
105,205,41,-835.42,0.3481
106,130,20,-335.42,0.3446
107,166,38,-750.12,0.3412
108,101,15,-193.72,0.3378
109,137,19,-316.12,0.3344
110,123,19,-292.12,0.3310
111,139,25,-439.12,0.3277
112,191,39,-829.62,0.3244
113,141,33,-580.62,0.3212
114,151,23,-474.82,0.3180
