episode,steps,hit_count,total_reward
1,726,0,-886.53
2,672,0,250.32
3,690,0,236.21
4,726,0,-866.09
5,114,0,576.60
6,726,0,-875.80
7,532,0,305.63
8,560,0,274.43
9,726,0,-895.34
10,252,0,483.95
11,108,0,580.75
12,166,0,544.60
13,124,0,568.86
14,726,0,-882.02
15,590,0,269.19
16,560,0,287.90
17,152,0,554.28
18,276,0,477.29
19,346,0,430.18
20,182,0,531.52
21,250,0,492.97
22,142,0,559.60
23,156,0,545.82
24,60,0,609.92
25,76,0,600.25
26,76,0,599.56
27,100,0,583.96
28,278,0,470.33
29,726,0,-896.53
30,242,0,494.21
31,92,0,589.09
32,72,0,604.32
33,72,0,602.46
34,158,0,545.12
35,138,0,564.09
36,412,0,382.44
37,262,0,488.70
38,96,0,591.99
39,88,0,596.70
40,246,0,485.53
41,128,0,568.37
42,90,0,594.22
43,180,0,533.70
44,118,0,570.14
45,154,0,547.73
46,244,0,490.70
47,272,0,481.95
48,250,0,485.87
49,726,0,-927.79
50,70,0,604.43
51,580,0,271.60
52,96,0,586.22
53,152,0,551.52
54,110,0,578.00
55,96,0,590.10
56,76,0,599.21
57,52,0,616.19
58,78,0,599.93
59,62,0,609.58
60,48,0,617.82
61,104,0,80.19
62,70,0,602.50
63,96,0,591.03
64,70,0,606.25
65,40,0,623.18
66,40,0,623.03
67,60,0,612.62
68,342,0,424.63
69,60,0,610.41
70,74,0,600.31
71,80,0,597.35
72,190,0,521.31
73,48,0,617.53
74,80,0,599.33
75,64,0,606.08
76,584,0,262.79
77,84,0,595.48
78,64,0,607.33
79,184,0,524.47
80,62,0,608.90
81,120,0,570.42
82,112,0,579.39
83,56,0,612.97
84,64,0,606.38
85,50,0,116.89
86,64,0,607.19
87,74,0,600.46
88,70,0,603.49
89,54,0,613.94
90,44,0,620.13
91,44,0,620.28
92,58,0,614.04
93,146,0,554.54
94,48,0,617.68
95,48,0,618.56
96,66,0,605.70
97,276,0,466.36
98,280,0,467.33
99,54,0,614.44
100,44,0,620.57
101,90,0,591.51
102,124,0,572.20
103,46,0,619.36
104,76,0,600.04
105,62,0,607.67
106,88,0,592.97
107,70,0,602.77
108,68,0,607.82
109,82,0,594.11
110,52,0,614.54
111,84,0,93.92
112,64,0,110.36
113,40,0,624.04
114,36,0,625.93
115,66,0,604.93
116,44,0,621.67
117,46,0,619.51
118,108,0,580.11
119,54,0,613.32
120,58,0,611.27
121,52,0,614.92
122,38,0,624.51
123,64,0,608.58
124,78,0,597.67
125,162,0,535.80
126,40,0,623.44
127,54,0,614.47
128,46,0,118.95
129,36,0,625.93
130,166,0,538.21
131,122,0,565.92
132,46,0,618.95
133,102,0,578.29
134,60,0,611.23
135,78,0,597.00
136,70,0,603.92
137,56,0,611.45
138,56,0,613.30
139,188,0,517.76
140,128,0,562.12
141,40,0,623.21
142,60,0,609.09
143,56,0,611.64
144,100,0,582.29
145,86,0,593.04
146,94,0,589.88
147,48,0,618.06
148,42,0,621.76
149,98,0,585.79
150,118,0,570.70
151,48,0,617.59
152,62,0,608.58
153,62,0,610.06
154,78,0,600.56
155,74,0,601.45
156,56,0,611.71
157,46,0,619.15
158,40,0,623.15
159,88,0,590.93
160,52,0,615.01
161,42,0,621.82
162,42,0,121.82
163,34,0,627.29
164,42,0,621.73
165,58,0,611.89
166,284,0,457.89
167,460,0,348.53
168,230,0,503.68
169,64,0,108.77
170,48,0,617.65
171,74,0,600.78
172,48,0,617.88
173,50,0,615.96
174,44,0,621.31
175,46,0,618.98
176,40,0,123.15
177,54,0,614.22
178,48,0,617.52
179,56,0,612.22
180,44,0,620.81
181,46,0,620.04
182,42,0,621.76
183,66,0,606.21
184,36,0,625.87
185,46,0,618.71
186,68,0,605.19
187,86,0,592.44
188,56,0,613.24
189,50,0,616.18
190,48,0,617.78
191,46,0,618.83
192,50,0,615.57
193,62,0,608.46
194,60,0,609.11
195,42,0,621.93
196,38,0,624.57
197,42,0,621.79
198,48,0,617.75
199,38,0,624.57
200,60,0,610.46
