x,y,Q_up,Q_down,Q_left,Q_right
1,1,13.6913,-7.6714,-7.6727,-7.6709
1,2,15.1011,11.7313,-6.4072,-6.4136
1,3,15.9636,12.7574,-5.6255,-5.6251
1,4,16.9931,13.6011,-4.6956,-4.6967
1,5,18.2496,14.6010,-3.5793,-3.5808
1,6,19.7256,15.7946,-2.2533,-2.2526
1,7,-0.6806,17.2351,-0.6797,21.4775
2,7,0.4079,0.4086,18.1531,22.6806
3,7,24.0290,1.6224,19.2459,1.6240
3,8,26.3218,21.1694,3.6882,3.6844
3,9,6.1354,23.3740,23.3426,29.0452
4,9,7.9422,7.9430,24.9344,31.0518
5,9,9.9502,33.2812,26.6687,9.9469
2,9,4.1534,4.2278,21.4968,26.9374
1,9,2.3551,2.1888,2.3252,24.9771
5,8,29.8648,37.0065,13.3003,13.3019
5,7,33.4304,17.2535,17.2479,41.3973
6,7,20.4265,20.4241,36.1621,44.9245
7,7,24.0402,48.9435,39.4159,24.0406
7,6,44.6105,55.1350,29.6139,29.6117
7,5,50.2751,35.8940,35.8951,62.1131
8,5,41.6565,41.6584,55.3430,68.5159
9,5,75.8810,61.2752,61.3305,48.2885
9,4,69.0884,55.7316,42.1559,42.1727
9,3,62.9500,50.7566,36.6343,36.6275
9,6,83.0900,67.0791,54.7759,54.7768
9,2,57.4305,46.2465,31.6467,31.6482
9,1,52.4560,27.1960,42.2528,27.1719
8,1,22.2893,22.3225,37.9380,47.0360
7,1,34.1217,18.0416,18.0436,42.2949
7,2,29.7920,36.8780,13.1705,13.1766
7,3,8.7933,32.0160,25.7082,8.6936
6,3,6.0057,5.9161,23.0103,28.9859
5,3,2.5571,18.6152,3.2098,26.2389
5,2,23.4695,16.9814,-1.2162,-0.7543
5,1,21.4087,-1.0817,12.9192,-1.8552
4,1,-7.4682,-9.1037,11.6436,17.8122
3,1,2.0137,-8.3643,-8.9588,15.0835
3,2,1.1416,2.5024,-18.9090,-18.8264
3,3,0.5597,0.5367,-19.5060,-19.5076
3,4,0.0781,-0.3857,-19.9785,-19.9832
3,5,-20.4278,-0.7818,-20.4554,-0.5368
4,5,-21.1728,-21.1638,-1.4593,-1.3212
5,5,-21.8848,-21.8902,-2.1073,-21.8904
9,7,91.1000,73.5765,61.9897,61.9893
9,8,100.0000,80.7861,70.0000,70.0000
