episode,steps,hit_count,total_reward,epsilon
1,2277,1233,-28870.27,0.9900
2,2715,1487,-34971.97,0.9801
3,10896,5780,-136552.87,0.9703
4,3170,1678,-39201.62,0.9606
5,2758,1506,-35460.17,0.9510
6,1267,687,-15554.87,0.9415
7,883,445,-9975.72,0.9321
8,1015,529,-11837.52,0.9227
9,1385,687,-15720.52,0.9135
10,510,254,-5515.07,0.9044
11,818,394,-8946.67,0.8953
12,522,250,-5384.52,0.8864
13,492,230,-4907.27,0.8775
14,640,308,-6806.82,0.8687
15,1095,533,-12187.52,0.8601
16,370,162,-3489.97,0.8515
17,524,234,-5227.07,0.8429
18,437,193,-4148.07,0.8345
19,675,301,-7103.37,0.8262
20,509,221,-4861.12,0.8179
21,390,188,-4025.62,0.8097
22,448,196,-4260.12,0.8016
23,273,111,-2274.72,0.7936
24,244,106,-2106.12,0.7857
25,237,93,-1814.82,0.7778
26,312,140,-2885.97,0.7700
27,291,121,-2536.77,0.7623
28,260,106,-2162.72,0.7547
29,243,97,-1918.67,0.7472
30,198,76,-1457.27,0.7397
31,262,112,-2268.72,0.7323
32,185,67,-1270.57,0.7250
33,178,72,-1363.82,0.7177
34,251,99,-1977.22,0.7106
35,229,97,-1927.77,0.7034
36,232,94,-1891.32,0.6964
37,180,72,-1356.32,0.6894
38,202,82,-1591.37,0.6826
39,189,73,-1414.37,0.6757
40,171,53,-973.87,0.6690
41,197,77,-1473.17,0.6623
42,192,68,-1304.52,0.6557
43,221,79,-1545.67,0.6491
44,214,86,-1689.42,0.6426
45,164,68,-1272.87,0.6362
46,180,66,-1243.42,0.6298
47,172,64,-1188.32,0.6235
48,166,48,-873.22,0.6173
49,181,67,-1263.57,0.6111
50,169,55,-1017.92,0.6050
51,160,58,-1059.97,0.5990
52,165,53,-981.32,0.5930
53,108,24,-368.62,0.5870
54,135,39,-674.27,0.5812
55,174,56,-1036.22,0.5754
56,142,42,-733.22,0.5696
57,169,45,-817.47,0.5639
58,158,48,-871.77,0.5583
59,120,34,-566.72,0.5527
60,131,35,-588.57,0.5472
61,135,39,-674.52,0.5417
62,111,27,-423.02,0.5363
63,158,56,-1035.22,0.5309
64,153,53,-968.62,0.5256
65,132,40,-688.92,0.5203
66,110,22,-326.52,0.5151
67,120,32,-529.02,0.5100
68,133,47,-835.12,0.5049
69,142,44,-775.62,0.4998
70,148,44,-787.37,0.4948
71,135,39,-675.22,0.4899
72,132,40,-694.32,0.4850
73,131,35,-589.52,0.4801
74,135,41,-717.22,0.4753
75,129,37,-629.82,0.4706
76,130,38,-649.52,0.4659
77,107,23,-341.87,0.4612
78,127,37,-628.82,0.4566
79,111,29,-463.52,0.4520
80,108,22,-322.52,0.4475
81,147,39,-677.97,0.4430
82,131,35,-587.27,0.4386
83,126,32,-529.22,0.4342
84,126,34,-569.92,0.4299
85,94,14,-158.92,0.4256
86,134,32,-543.87,0.4213
87,119,29,-464.92,0.4171
88,134,36,-614.07,0.4129
89,123,29,-471.52,0.4088
90,115,31,-503.37,0.4047
91,108,24,-364.72,0.4007
92,110,26,-402.42,0.3967
93,136,34,-570.42,0.3927
94,105,23,-339.02,0.3888
95,123,27,-429.22,0.3849
96,110,24,-361.67,0.3810
97,126,34,-571.37,0.3772
98,110,26,-401.52,0.3735
99,116,22,-325.72,0.3697
100,112,22,-325.52,0.3660
101,103,19,-260.02,0.3624
102,104,20,-280.92,0.3587
103,107,23,-340.62,0.3552
104,106,18,-243.92,0.3516
105,96,14,-159.97,0.3481
106,101,17,-221.27,0.3446
107,105,19,-261.67,0.3412
108,119,31,-505.77,0.3378
109,98,16,-199.62,0.3344
110,102,18,-242.17,0.3310
111,102,14,-161.52,0.3277
112,102,26,-399.02,0.3244
113,128,24,-375.77,0.3212
114,121,25,-392.02,0.3180
115,93,13,-138.62,0.3148
116,108,24,-362.72,0.3117
117,101,17,-219.47,0.3085
118,111,27,-423.07,0.3055
119,105,21,-301.87,0.3024
120,106,24,-363.52,0.2994
121,107,21,-303.92,0.2964
122,90,12,-118.52,0.2934
123,102,18,-239.17,0.2905
124,96,12,-120.67,0.2876
125,96,16,-199.22,0.2847
126,107,21,-303.92,0.2819
127,98,20,-278.82,0.2790
128,97,13,-140.37,0.2763
129,89,13,-137.82,0.2735
130,96,18,-238.82,0.2708
131,103,21,-301.42,0.2680
132,92,12,-119.22,0.2654
133,96,12,-120.32,0.2627
134,100,20,-279.82,0.2601
135,93,13,-139.52,0.2575
136,108,22,-322.57,0.2549
